id,Station,Divisions,Year,Number.of.Crime.Record
20675,Cavan,Cavan/Monaghan Division,2007,7127
,,Cavan/Monaghan Division,2008,6686
,,Cavan/Monaghan Division,2009,6083
,,Cavan/Monaghan Division,2010,6081
,,Cavan/Monaghan Division,2011,5752
,,Cavan/Monaghan Division,2012,5210
,,Cavan/Monaghan Division,2013,4302
,,Cavan/Monaghan Division,2014,4282
,,Cavan/Monaghan Division,2015,4479
,,Cavan/Monaghan Division,2016,1108
,,Cavan/Monaghan Division,2017,5612
,,Cavan/Monaghan Division,2018,6299
20459,Clare,Clare Division,2007,5500
,,Clare Division,2008,5982
,,Clare Division,2009,5461
,,Clare Division,2010,5288
,,Clare Division,2011,4304
,,Clare Division,2012,4028
,,Clare Division,2013,3890
,,Clare Division,2014,3751
,,Clare Division,2015,3921
,,Clare Division,2016,3895
,,Clare Division,2017,3812
,,Clare Division,2018,4327
20492,Cork,Total Cork Division,2007,27310
,,Total Cork Division,2008,29245
,,Total Cork Division,2009,26731
,,Total Cork Division,2010,24776
,,Total Cork Division,2011,23755
,,Total Cork Division,2012,21797
,,Total Cork Division,2013,20400
,,Total Cork Division,2014,19576
,,Total Cork Division,2015,18970
,,Total Cork Division,2016,18896
,,Total Cork Division,2017,22994
,,Total Cork Division,2018,25444
2016,D.M.R,Total D.M.R. Division,2007,107994
,,Total D.M.R. Division,2008,115498
,,Total D.M.R. Division,2009,110813
,,Total D.M.R. Division,2010,108033
,,Total D.M.R. Division,2011,103382
,,Total D.M.R. Division,2012,100399
,,Total D.M.R. Division,2013,94785
,,Total D.M.R. Division,2014,96309
,,Total D.M.R. Division,2015,97042
,,Total D.M.R. Division,2016,21290
,,Total D.M.R. Division,2017,99281
,,Total D.M.R. Division,2018,102032
2222,Donegal,Total Donegal Division,2007,8596
,,Total Donegal Division,2008,8875
,,Total Donegal Division,2009,7821
,,Total Donegal Division,2010,6692
,,Total Donegal Division,2011,6307
,,Total Donegal Division,2012,5422
,,Total Donegal Division,2013,4879
,,Total Donegal Division,2014,4793
,,Total Donegal Division,2015,4694
,,Total Donegal Division,2016,1063
,,Total Donegal Division,2017,6800
,,Total Donegal Division,2018,7739
20585,Galway,Total Galway Division,2007,12110
,,Total Galway Division,2008,12981
,,Total Galway Division,2009,12450
,,Total Galway Division,2010,11424
,,Total Galway Division,2011,9754
,,Total Galway Division,2012,9627
,,Total Galway Division,2013,8654
,,Total Galway Division,2014,8598
,,Total Galway Division,2015,8565
,,Total Galway Division,2016,1921
,,Total Galway Division,2017,8555
,,Total Galway Division,2018,10099
20549,Kerry,Total Kerry Division,2007,6793
,,Total Kerry Division,2008,6827
,,Total Kerry Division,2009,6223
,,Total Kerry Division,2010,6660
,,Total Kerry Division,2011,5756
,,Total Kerry Division,2012,5440
,,Total Kerry Division,2013,5071
,,Total Kerry Division,2014,5051
,,Total Kerry Division,2015,5254
,,Total Kerry Division,2016,970
,,Total Kerry Division,2017,5161
,,Total Kerry Division,2018,6075
20150,Carlow,Total Carlow Division,2007,24257
,,Total Carlow Division,2008,24358
,,Total Carlow Division,2009,22485
,,Total Carlow Division,2010,22692
,,Total Carlow Division,2011,21411
,,Total Carlow Division,2012,19760
,,Total Carlow Division,2013,18355
,,Total Carlow Division,2014,17916
,,Total Carlow Division,2015,17844
,,Total Carlow Division,2016,3601
,,Total Carlow Division,2017,18541
,,Total Carlow Division,2018,20770
20215,Kilkenny,Total Kilkenny/Carlow Division,2007,7680
,,Total Kilkenny/Carlow Division,2008,7750
,,Total Kilkenny/Carlow Division,2009,8515
,,Total Kilkenny/Carlow Division,2010,8502
,,Total Kilkenny/Carlow Division,2011,7932
,,Total Kilkenny/Carlow Division,2012,7102
,,Total Kilkenny/Carlow Division,2013,6731
,,Total Kilkenny/Carlow Division,2014,6330
,,Total Kilkenny/Carlow Division,2015,5621
,,Total Kilkenny/Carlow Division,2016,1242
,,Total Kilkenny/Carlow Division,2017,5849
,,Total Kilkenny/Carlow Division,2018,6153
20168,Laois,Total Laois/Offaly Division,2007,7005
,,Total Laois/Offaly Division,2008,7309
,,Total Laois/Offaly Division,2009,7002
,,Total Laois/Offaly Division,2010,6764
,,Total Laois/Offaly Division,2011,6472
,,Total Laois/Offaly Division,2012,6234
,,Total Laois/Offaly Division,2013,6623
,,Total Laois/Offaly Division,2014,6413
,,Total Laois/Offaly Division,2015,6386
,,Total Laois/Offaly Division,2016,1401
,,Total Laois/Offaly Division,2017,5263
,,Total Laois/Offaly Division,2018,6785
20497,Limerick,Total Limerick Division,2007,14643
,,Total Limerick Division,2008,15501
,,Total Limerick Division,2009,15203
,,Total Limerick Division,2010,14653
,,Total Limerick Division,2011,14161
,,Total Limerick Division,2012,12837
,,Total Limerick Division,2013,12306
,,Total Limerick Division,2014,11683
,,Total Limerick Division,2015,12131
,,Total Limerick Division,2016,2467
,,Total Limerick Division,2017,11149
,,Total Limerick Division,2018,13757
2066,Donegal,Total Louth Division,2007,8452
,,Total Louth Division,2008,9211
,,Total Louth Division,2009,8721
,,Total Louth Division,2010,8380
,,Total Louth Division,2011,7344
,,Total Louth Division,2012,7294
,,Total Louth Division,2013,6552
,,Total Louth Division,2014,6459
,,Total Louth Division,2015,6560
,,Total Louth Division,2016,1315
,,Total Louth Division,2017,6125
,,Total Louth Division,2018,6926
20599,Mayo,Total Mayo Division,2007,5083
,,Total Mayo Division,2008,5254
,,Total Mayo Division,2009,5173
,,Total Mayo Division,2010,4650
,,Total Mayo Division,2011,4203
,,Total Mayo Division,2012,4239
,,Total Mayo Division,2013,3647
,,Total Mayo Division,2014,3301
,,Total Mayo Division,2015,3348
,,Total Mayo Division,2016,737
,,Total Mayo Division,2017,3850
,,Total Mayo Division,2018,4052
2089,Meath,Total Meath Division,2007,7089
,,Total Meath Division,2008,7392
,,Total Meath Division,2009,7876
,,Total Meath Division,2010,7216
,,Total Meath Division,2011,7024
,,Total Meath Division,2012,6613
,,Total Meath Division,2013,6025
,,Total Meath Division,2014,6075
,,Total Meath Division,2015,5606
,,Total Meath Division,2016,1212
,,Total Meath Division,2017,4814
,,Total Meath Division,2018,5388
20655,Longford,Total Roscommon/Longford Division,2007,3982
,,Total Roscommon/Longford Division,2008,3780
,,Total Roscommon/Longford Division,2009,3924
,,Total Roscommon/Longford Division,2010,3562
,,Total Roscommon/Longford Division,2011,3341
,,Total Roscommon/Longford Division,2012,3325
,,Total Roscommon/Longford Division,2013,3180
,,Total Roscommon/Longford Division,2014,3017
,,Total Roscommon/Longford Division,2015,2988
,,Total Roscommon/Longford Division,2016,647
,,Total Roscommon/Longford Division,2017,3078
,,Total Roscommon/Longford Division,2018,3021
20598,Sligo,Total Sligo/Leitrim Division,2007,4868
,,Total Sligo/Leitrim Division,2008,4848
,,Total Sligo/Leitrim Division,2009,4434
,,Total Sligo/Leitrim Division,2010,3875
,,Total Sligo/Leitrim Division,2011,3714
,,Total Sligo/Leitrim Division,2012,3486
,,Total Sligo/Leitrim Division,2013,3450
,,Total Sligo/Leitrim Division,2014,3248
,,Total Sligo/Leitrim Division,2015,3110
,,Total Sligo/Leitrim Division,2016,638
,,Total Sligo/Leitrim Division,2017,3563
,,Total Sligo/Leitrim Division,2018,4384
20280,Tipperary,Total Tipperary Division,2007,1363
,,Total Tipperary Division,2008,1434
,,Total Tipperary Division,2009,1222
,,Total Tipperary Division,2010,1018
,,Total Tipperary Division,2011,930
,,Total Tipperary Division,2012,772
,,Total Tipperary Division,2013,775
,,Total Tipperary Division,2014,754
,,Total Tipperary Division,2015,809
,,Total Tipperary Division,2016,193
,,Total Tipperary Division,2017,917
,,Total Tipperary Division,2018,946
20206,Waterford,Total Waterford Division,2007,4028
,,Total Waterford Division,2008,4144
,,Total Waterford Division,2009,4010
,,Total Waterford Division,2010,3852
,,Total Waterford Division,2011,3664
,,Total Waterford Division,2012,3856
,,Total Waterford Division,2013,3581
,,Total Waterford Division,2014,1597
,,Total Waterford Division,2015,1659
,,Total Waterford Division,2016,320
,,Total Waterford Division,2017,1599
,,Total Waterford Division,2018,1777
20689,Westmeath,Total Westmeath Division,2007,5662
